"breed" "weight" "age" "id"
"abyssinian" 7.58210737973864 1 1
"abyssinian" 8.51737908140901 2 1
"abyssinian" 7.97543277921755 3 1
"abyssinian" 8.71145397158915 4 1
"abyssinian" 9.4527507061687 5 1
"abyssinian" 9.55582002837965 6 1
"abyssinian" 10.7068380817705 7 1
"abyssinian" 9.99934105717969 8 1
"abyssinian" 9.69895636185114 9 1
"abyssinian" 9.48534218598395 10 1
"abyssinian" 9.14671663782502 11 1
"abyssinian" 8.6786313596285 12 1
"abyssinian" 8.67217243720967 13 1
"abyssinian" 8.48216988024991 14 1
"scottishFold" 8.5642254955183 1 2
"scottishFold" 9.10521932262603 2 2
"scottishFold" 10.4028725329551 3 2
"scottishFold" 10.80088131164 4 2
"scottishFold" 11.1424951464847 5 2
"scottishFold" 11.8812294315938 6 2
"scottishFold" 11.9644366732476 7 2
"scottishFold" 11.4551164899603 8 2
"scottishFold" 11.7280860737086 9 2
"scottishFold" 11.1971760586228 10 2
"scottishFold" 11.926323373451 11 2
"sphinx" 6.71681668625183 1 3
"sphinx" 7.70294058420244 2 3
"sphinx" 8.63707123916793 3 3
"sphinx" 8.74314562185241 4 3
"sphinx" 8.8744020158742 5 3
"sphinx" 8.93338617225692 6 3
"sphinx" 9.08861092652437 7 3
"sphinx" 9.679554113415 8 3
"sphinx" 9.30984293126078 9 3
"maineCoon" 5.64990074327623 1 4
"maineCoon" 5.89770676890782 2 4
"maineCoon" 5.94170394534753 3 4
"maineCoon" 6.77744290938689 4 4
"maineCoon" 7.29853699010467 5 4
"maineCoon" 6.42086439261911 6 4
"maineCoon" 7.38328887366817 7 4
"maineCoon" 6.99652597781724 8 4
"maineCoon" 6.64827846813522 9 4
"maineCoon" 6.3259519498942 10 4
"persian" 4.52128870051653 1 5
"persian" 4.41803049311077 2 5
"persian" 5.61745250625678 3 5
"persian" 4.76897704437866 4 5
"persian" 5.77105417416532 5 5
"persian" 5.32618625934031 6 5
"persian" 6.08809340494519 7 5
"persian" 5.35626082236658 8 5
"persian" 6.08120690535123 9 5
"persian" 5.0121249584758 10 5
"persian" 4.7584061214566 11 5
"persian" 4.82802047793017 12 5
"ragdoll" 6.95653791507418 1 6
"ragdoll" 7.38597762304541 2 6
"ragdoll" 7.92443122725536 3 6
"ragdoll" 8.43895938535804 4 6
"ragdoll" 7.9977626797843 5 6
"ragdoll" 9.34150277432857 6 6
"ragdoll" 8.06049970053957 7 6
"ragdoll" 9.00231048843974 8 6
"ragdoll" 8.25145112802821 9 6
"americanShorthair" 5.57882305350272 1 7
"americanShorthair" 6.05652680861216 2 7
"americanShorthair" 6.99787247293983 3 7
"americanShorthair" 6.25302562388584 4 7
"americanShorthair" 6.99862739001208 5 7
"americanShorthair" 7.57353323760412 6 7
"americanShorthair" 8.15584653791932 7 7
"americanShorthair" 7.52395644658763 8 7
"siamese" 6.96826548767274 1 8
"siamese" 6.55740842351082 2 8
"siamese" 7.14550011881813 3 8
"siamese" 8.10159663224985 4 8
"siamese" 7.25840742420111 5 8
"siamese" 7.91888394436699 6 8
"siamese" 7.85425498623317 7 8
"siamese" 7.72815574097891 8 8
"americanShorthair" 5.87406848097185 1 9
"americanShorthair" 6.1428820730509 2 9
"americanShorthair" 6.20668812454956 3 9
"americanShorthair" 6.26568715821228 4 9
"americanShorthair" 6.5074160167235 5 9
"americanShorthair" 7.1929626997269 6 9
"americanShorthair" 7.40231846530595 7 9
"americanShorthair" 6.48693763721038 8 9
"americanShorthair" 6.35103483246795 9 9
"americanShorthair" 7.04073024524729 10 9
"americanShorthair" 6.39276289067808 11 9
"siamese" 6.59063255829806 1 10
"siamese" 6.13408391048679 2 10
"siamese" 7.05919648494061 3 10
"siamese" 6.91667896236983 4 10
"siamese" 7.8836904992257 5 10
"siamese" 7.71901866909965 6 10
"siamese" 7.56632835239453 7 10
"siamese" 7.1286324630738 8 10
"abyssinian" 8.64201711967826 1 11
"abyssinian" 7.725629568922 2 11
"abyssinian" 8.57402456449532 3 11
"abyssinian" 8.96037468446454 4 11
"abyssinian" 10.0361463460336 5 11
"abyssinian" 8.91425389026542 6 11
"abyssinian" 10.3726891316441 7 11
"siamese" 5.07966391932661 1 12
"siamese" 5.78110437870817 2 12
"siamese" 6.57983079678995 3 12
"siamese" 6.39369639749684 4 12
"siamese" 6.93494797474814 5 12
"siamese" 7.08615111842291 6 12
"siamese" 7.4948538338669 7 12
"siamese" 6.91839830545154 8 12
"siamese" 6.64053193548968 9 12
"siamese" 6.56072372936433 10 12
"siamese" 6.81600584634452 11 12
"siamese" 5.3817703218871 12 12
"siamese" 6.25546362598131 13 12
"britishShorthair" 4.99568072949644 1 13
"britishShorthair" 6.2220368888682 2 13
"britishShorthair" 4.81436893036841 3 13
"britishShorthair" 5.92766407298171 4 13
"britishShorthair" 5.27695917892533 5 13
"britishShorthair" 6.11538286794351 6 13
"britishShorthair" 6.46832081264528 7 13
"britishShorthair" 6.28468101856256 1 14
"britishShorthair" 5.01084942291759 2 14
"britishShorthair" 5.43447097393667 3 14
"britishShorthair" 5.94381238841814 4 14
"britishShorthair" 6.34029066100897 5 14
"britishShorthair" 5.93335921405626 6 14
"britishShorthair" 6.24240096307347 7 14
"britishShorthair" 5.88324250787807 8 14
"britishShorthair" 5.97967368756552 9 14
"britishShorthair" 5.75890941840972 10 14
"britishShorthair" 6.51149021201542 11 14
"britishShorthair" 6.12535461349759 12 14
"ragdoll" 6.6232006312585 1 15
"ragdoll" 6.86069874185137 2 15
"ragdoll" 7.69707973120816 3 15
"ragdoll" 7.59720767232556 4 15
"ragdoll" 7.4338646938274 5 15
"ragdoll" 7.92369578452789 6 15
"ragdoll" 8.50110044282739 7 15
"ragdoll" 8.67011755812473 8 15
"ragdoll" 8.41076109512543 9 15
"ragdoll" 7.53977921329848 10 15
"ragdoll" 7.29653015002219 11 15
"ragdoll" 7.933489233012 12 15
"scottishFold" 8.26105561681041 1 16
"scottishFold" 10.0127050750478 2 16
"scottishFold" 11.1231595528466 3 16
"scottishFold" 10.5328490246674 4 16
"scottishFold" 11.6620230383094 5 16
"scottishFold" 11.5512330739328 6 16
"scottishFold" 12.2889742784917 7 16
"scottishFold" 11.4073887382017 8 16
"scottishFold" 12.5059884910224 9 16
"ragdoll" 6.90279205307402 1 17
"ragdoll" 8.38919179492477 2 17
"ragdoll" 7.62064581190297 3 17
"ragdoll" 8.2544012431983 4 17
"ragdoll" 9.06378095998369 5 17
"ragdoll" 8.52945660247845 6 17
"ragdoll" 9.01697141803446 7 17
"ragdoll" 8.89517174311457 8 17
"ragdoll" 8.94085236334975 9 17
"ragdoll" 9.54518106084398 10 17
"persian" 6.04759472963878 1 18
"persian" 7.1947620167314 2 18
"persian" 6.53015761311825 3 18
"persian" 6.079672213735 4 18
"persian" 6.70115632178054 5 18
"persian" 6.83383803368206 6 18
"persian" 6.9096190888903 7 18
"persian" 5.90715323124769 8 18
"persian" 6.71505309857284 9 18
"persian" 3.22047642606686 1 19
"persian" 4.29865196895529 2 19
"persian" 5.02977085661212 3 19
"persian" 4.3449893001244 4 19
"persian" 4.01241601870747 5 19
"persian" 4.19762516975169 6 19
"persian" 4.43460410445039 7 19
"persian" 4.14363845957322 8 19
"persian" 4.49133990317609 9 19
"persian" 3.51547596167345 10 19
"persian" 4.70261829755462 11 19
"persian" 4.69398093126291 12 19
"persian" 3.70366623632716 13 19
"persian" 4.03597105382098 14 19
"bengal" 6.47496843738611 1 20
"bengal" 7.6086783936025 2 20
"bengal" 7.57499293589023 3 20
"bengal" 8.52346999474081 4 20
"bengal" 8.76852987919384 5 20
"bengal" 7.10881908714532 6 20
"bengal" 8.10601090356005 7 20
"bengal" 8.88017544431334 8 20
"bengal" 8.77595712011947 9 20
"bengal" 8.55005702435842 10 20
"bengal" 9.17434161200702 11 20
"bengal" 8.2503522484538 12 20
"abyssinian" 8.3088132666866 1 21
"abyssinian" 8.35446877173545 2 21
"abyssinian" 9.43782607435073 3 21
"abyssinian" 9.72568856498445 4 21
"abyssinian" 9.56536367069931 5 21
"abyssinian" 9.22464339112963 6 21
"abyssinian" 10.4072376307837 7 21
"sphinx" 7.03413361729149 1 22
"sphinx" 8.0300333856892 2 22
"sphinx" 8.79283658148146 3 22
"sphinx" 7.27764554770598 4 22
"sphinx" 7.69727833236734 5 22
"sphinx" 8.1025451504586 6 22
"sphinx" 8.21271420554701 7 22
"sphinx" 8.88318133079914 8 22
"siamese" 5.58972049471761 1 23
"siamese" 7.0285884957221 2 23
"siamese" 7.14947743960476 3 23
"siamese" 7.25035253781021 4 23
"siamese" 8.53789267069114 5 23
"siamese" 8.15010062193664 6 23
"siamese" 7.66246748859922 7 23
"siamese" 8.26875292491359 8 23
"siamese" 8.2835545024176 9 23
"siamese" 8.4956824205964 10 23
"siamese" 7.62463169402299 11 23
"siamese" 7.23459303168274 12 23
"siamese" 6.9627672354239 13 23
"siamese" 7.38672622781347 14 23
"siamese" 6.85289257916802 15 23
"sphinx" 6.56138688462616 1 24
"sphinx" 7.33666454893653 2 24
"sphinx" 7.8022582320319 3 24
"sphinx" 8.03833797993926 4 24
"sphinx" 8.62583259578528 5 24
