school minority sex ses math.achieve sector size percent
1224 No Female -1.528 5.876 Public 842 35
1224 No Female -0.588 19.708 Public 842 35
1224 No Male -0.528 20.349 Public 842 35
1224 No Male -0.668 8.781 Public 842 35
1224 No Male -0.158 17.898 Public 842 35
1224 No Male 0.022 4.583 Public 842 35
1224 No Female -0.618 -2.832 Public 842 35
1224 No Male -0.998 0.523 Public 842 35
1224 No Female -0.888 1.527 Public 842 35
1224 No Male -0.458 21.521 Public 842 35
1224 No Female -1.448 9.475 Public 842 35
1224 No Female -0.658 16.057 Public 842 35
1224 No Male -0.468 21.178 Public 842 35
1224 No Female -0.988 20.178 Public 842 35
1224 No Male 0.332 20.349 Public 842 35
1224 No Female -0.678 20.508 Public 842 35
1224 No Male -0.298 19.338 Public 842 35
1224 Yes Male -1.528 4.145 Public 842 35
1224 No Female 0.042 2.927 Public 842 35
1224 No Male -0.078 16.405 Public 842 35
1224 No Female 0.062 13.653 Public 842 35
1224 No Female -0.128 6.558 Public 842 35
1224 No Female 0.472 9.653 Public 842 35
1224 No Male -0.468 3.154 Public 842 35
1224 Yes Female -1.248 4.753 Public 842 35
1224 No Male -0.628 21.721 Public 842 35
1224 No Female 0.832 5.166 Public 842 35
1224 No Female -0.568 6.399 Public 842 35
1224 No Female -0.258 6.821 Public 842 35
1224 No Female -0.138 9.255 Public 842 35
1224 No Female -0.478 3.745 Public 842 35
1224 No Female -0.948 0.858 Public 842 35
1224 No Female 0.282 11.542 Public 842 35
1224 No Female -0.118 13.255 Public 842 35
1224 No Male -0.878 10.557 Public 842 35
1224 No Male -0.938 0.868 Public 842 35
1224 No Male -0.548 8.296 Public 842 35
1224 Yes Male 0.142 -1.688 Public 842 35
1224 No Female 0.972 2.059 Public 842 35
1224 No Male 0.372 6.714 Public 842 35
1224 Yes Male -1.658 0.122 Public 842 35
1224 No Female -1.068 2.381 Public 842 35
1224 No Female -0.248 16.336 Public 842 35
1224 No Female -1.398 6.134 Public 842 35
1224 No Female 0.752 23.584 Public 842 35
1224 No Female 0.012 14.053 Public 842 35
1224 No Female -0.418 2.183 Public 842 35
1288 No Female -0.788 7.857 Public 1855 27
1288 Yes Male -0.328 10.171 Public 1855 27
1288 No Male 0.472 15.699 Public 1855 27
1288 No Female 0.352 22.919 Public 1855 27
1288 Yes Female -1.468 10.664 Public 1855 27
1288 No Female 0.202 13.543 Public 1855 27
1288 No Male -0.518 18.207 Public 1855 27
1288 Yes Male -0.158 5.552 Public 1855 27
1288 No Male 0.042 7.416 Public 1855 27
1288 No Male 0.682 18.792 Public 1855 27
