name,flip_number,outcome
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,1
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,1
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,1
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,1
1,18,0
1,19,1
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,1
1,30,0
2,1,1
2,2,0
2,3,0
2,4,1
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,1
2,13,0
2,14,0
2,15,0
2,16,1
2,17,0
2,18,0
2,19,1
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,1
3,1,1
3,2,1
3,3,0
3,4,1
3,5,0
3,6,1
3,7,1
3,8,0
3,9,0
3,10,0
3,11,1
3,12,0
3,13,1
3,14,0
3,15,1
3,16,0
3,17,0
3,18,0
3,19,1
3,20,1
3,21,0
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
3,30,0
4,1,1
4,2,0
4,3,0
4,4,1
4,5,1
4,6,1
4,7,1
4,8,0
4,9,0
4,10,0
4,11,1
4,12,0
4,13,1
4,14,0
4,15,1
4,16,1
4,17,1
4,18,1
4,19,1
4,20,0
4,21,0
4,22,0
4,23,0
4,24,1
4,25,1
4,26,1
4,27,0
4,28,0
4,29,0
4,30,0
5,1,1
5,2,1
5,3,0
5,4,1
5,5,1
5,6,0
5,7,0
5,8,1
5,9,0
5,10,1
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,1
5,19,1
5,20,0
5,21,1
5,22,1
5,23,0
5,24,0
5,25,0
5,26,1
5,27,0
5,28,0
5,29,1
5,30,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,1
6,7,0
6,8,0
6,9,0
6,10,1
6,11,1
6,12,0
6,13,0
6,14,0
6,15,1
6,16,1
6,17,0
6,18,0
6,19,0
6,20,0
6,21,0
6,22,1
6,23,0
6,24,1
6,25,0
6,26,1
6,27,0
6,28,1
6,29,0
6,30,1
7,1,0
7,2,1
7,3,1
7,4,1
7,5,0
7,6,1
7,7,0
7,8,1
7,9,1
7,10,1
7,11,0
7,12,0
7,13,0
7,14,1
7,15,0
7,16,0
7,17,1
7,18,0
7,19,0
7,20,1
7,21,0
7,22,0
7,23,1
7,24,0
7,25,1
7,26,1
7,27,0
7,28,0
7,29,1
7,30,0
8,1,0
8,2,1
8,3,0
8,4,1
8,5,1
8,6,0
8,7,0
8,8,1
8,9,0
8,10,1
8,11,0
8,12,0
8,13,0
8,14,0
8,15,1
8,16,1
8,17,0
8,18,0
8,19,0
8,20,0
8,21,1
8,22,0
8,23,0
8,24,0
8,25,0
8,26,1
8,27,1
8,28,0
8,29,1
8,30,0
9,1,1
9,2,0
9,3,0
9,4,0
9,5,0
9,6,1
9,7,1
9,8,1
9,9,0
9,10,0
9,11,1
9,12,0
9,13,1
9,14,1
9,15,0
9,16,1
9,17,0
9,18,0
9,19,1
9,20,1
9,21,0
9,22,1
9,23,0
9,24,0
9,25,0
9,26,1
9,27,1
9,28,0
9,29,1
9,30,1
10,1,0
10,2,1
10,3,0
10,4,1
10,5,0
10,6,0
10,7,1
10,8,0
10,9,0
10,10,0
10,11,0
10,12,1
10,13,1
10,14,0
10,15,1
10,16,1
10,17,1
10,18,1
10,19,0
10,20,1
10,21,1
10,22,0
10,23,0
10,24,0
10,25,0
10,26,0
10,27,0
10,28,1
10,29,0
10,30,1
11,1,0
11,2,1
11,3,0
11,4,0
11,5,1
11,6,1
11,7,1
11,8,0
11,9,0
11,10,1
11,11,1
11,12,0
11,13,1
11,14,0
11,15,0
11,16,1
11,17,1
11,18,1
11,19,1
11,20,0
11,21,0
11,22,1
11,23,0
11,24,1
11,25,0
11,26,1
11,27,1
11,28,1
11,29,0
11,30,1
12,1,0
12,2,1
12,3,1
12,4,0
12,5,0
12,6,1
12,7,0
12,8,1
12,9,1
12,10,0
12,11,1
12,12,0
12,13,1
12,14,1
12,15,1
12,16,0
12,17,1
12,18,0
12,19,1
12,20,0
12,21,1
12,22,1
12,23,0
12,24,1
12,25,1
12,26,1
12,27,0
12,28,1
12,29,1
12,30,1
13,1,0
13,2,1
13,3,0
13,4,1
13,5,1
13,6,1
13,7,1
13,8,1
13,9,0
13,10,0
13,11,1
13,12,1
13,13,1
13,14,0
13,15,0
13,16,1
13,17,1
13,18,1
13,19,0
13,20,1
13,21,0
13,22,1
13,23,1
13,24,1
13,25,0
13,26,0
13,27,1
13,28,0
13,29,0
13,30,1
14,1,1
14,2,0
14,3,0
14,4,0
14,5,1
14,6,0
14,7,1
14,8,0
14,9,0
14,10,1
14,11,1
14,12,1
14,13,0
14,14,1
14,15,1
14,16,0
14,17,1
14,18,1
14,19,0
14,20,0
14,21,0
14,22,1
14,23,0
14,24,1
14,25,0
14,26,1
14,27,0
14,28,1
14,29,0
14,30,0
